accuracy,average_loss,correct,epoch,total
52.327044025157235,1.8522091271742336,416,0,795
48.930817610062896,1.8071082732962362,389,1,795
51.069182389937104,1.7968081588265281,406,2,795
51.82389937106918,1.7965668300412736,412,3,795
49.55974842767296,1.877367741806702,394,4,795
52.83018867924528,1.8698044111143868,420,5,795
50.81761006289308,1.9354533549374755,404,6,795
53.58490566037736,1.9321900661636449,426,7,795
53.20754716981132,2.0548561815945607,423,8,795
50.691823899371066,2.1070666811001377,403,9,795
53.081761006289305,2.0682550010441236,422,10,795
52.327044025157235,2.0776395881700815,416,11,795
51.44654088050314,2.2352720824427577,409,12,795
51.44654088050314,2.1745299237329254,409,13,795
51.069182389937104,2.2334241567167847,406,14,795
51.57232704402516,2.162171696117089,410,15,795
50.691823899371066,2.288829232461797,403,16,795
53.20754716981132,2.1253803852968995,423,17,795
51.069182389937104,2.3795646043693495,406,18,795
50.44025157232704,2.214056550031938,401,19,795
50.691823899371066,2.3530638016994643,403,20,795
52.83018867924528,2.308255628669787,420,21,795
51.82389937106918,2.335329576408338,412,22,795
50.062893081761004,2.5019909936676985,398,23,795
50.943396226415096,2.407998753193789,405,24,795
51.069182389937104,2.329755991809773,406,25,795
50.18867924528302,2.4774667607913226,399,26,795
53.081761006289305,2.5317069095635563,422,27,795
52.327044025157235,2.4781139541721946,416,28,795
51.698113207547166,2.3356315084973223,411,29,795
49.81132075471698,2.4839242227422367,396,30,795
49.937106918238996,2.521869942527147,397,31,795
49.81132075471698,2.4551175291433274,396,32,795
51.069182389937104,2.3832869139857262,406,33,795
50.18867924528302,2.4034586972410574,399,34,795
51.82389937106918,2.4687356241094243,412,35,795
48.80503144654088,2.686454465854093,388,36,795
49.43396226415094,2.638695204632837,393,37,795
50.691823899371066,2.494139118314539,403,38,795
52.327044025157235,2.5248112036747004,416,39,795
51.57232704402516,2.615381128083235,410,40,795
51.57232704402516,2.657331493065792,410,41,795
49.937106918238996,2.633402976749828,397,42,795
51.19496855345912,2.771173604329427,407,43,795
49.685534591194966,2.7363866074280168,395,44,795
48.679245283018865,2.7468450966121267,387,45,795
49.81132075471698,2.530534804242212,396,46,795
52.45283018867924,2.4393783089499803,417,47,795
49.55974842767296,2.7420488561474303,394,48,795
47.79874213836478,2.833716971919222,380,49,795
