accuracy,average_loss,correct,epoch,total
74.54739084132055,0.91753866014897,2100,0,2817
84.45154419595315,0.5649447916753334,2379,1,2817
89.20837770678027,0.4280671460602272,2513,2,2817
92.50976215832446,0.3147837849089894,2606,3,2817
94.53319133830315,0.24439608648731473,2663,4,2817
96.73411430599928,0.18970787148548435,2725,5,2817
97.7280795172169,0.14854158219353375,2753,6,2817
98.33155839545616,0.11895701713413052,2770,7,2817
98.4735534256301,0.0949546887090031,2774,8,2817
99.11253106141285,0.08157170897982499,2792,9,2817
99.2545260915868,0.06782764553981425,2796,10,2817
99.29002484913028,0.06509205463045152,2797,11,2817
99.36102236421725,0.05175310828222804,2799,12,2817
99.29002484913028,0.050685875458966176,2797,13,2817
99.29002484913028,0.04535486294438664,2797,14,2817
99.36102236421725,0.041673989341662714,2799,15,2817
99.29002484913028,0.04009390876019809,2797,16,2817
99.32552360667377,0.0352277109121066,2798,17,2817
99.39652112176074,0.03582784763074827,2800,18,2817
99.39652112176074,0.03090484353046194,2800,19,2817
99.39652112176074,0.02891303598351795,2800,20,2817
99.39652112176074,0.029360067687814947,2800,21,2817
99.36102236421725,0.0262249954042174,2799,22,2817
99.36102236421725,0.02630500112986539,2799,23,2817
99.39652112176074,0.02425667272208217,2800,24,2817
99.39652112176074,0.022804692403450053,2800,25,2817
99.36102236421725,0.023251509471780913,2799,26,2817
99.39652112176074,0.02153453075339873,2800,27,2817
99.36102236421725,0.022155893750338,2799,28,2817
99.39652112176074,0.02022101907049632,2800,29,2817
99.39652112176074,0.021410113156243846,2800,30,2817
99.39652112176074,0.019378208800922864,2800,31,2817
99.39652112176074,0.020080292186797997,2800,32,2817
99.39652112176074,0.018377843544675306,2800,33,2817
99.39652112176074,0.017243109910590537,2800,34,2817
99.39652112176074,0.017825116660944485,2800,35,2817
99.36102236421725,0.01827144335041581,2799,36,2817
99.39652112176074,0.017483802479888514,2800,37,2817
99.39652112176074,0.018018942417555087,2800,38,2817
99.39652112176074,0.01749510184475239,2800,39,2817
99.39652112176074,0.016170941475735178,2800,40,2817
99.39652112176074,0.017759431961541654,2800,41,2817
99.39652112176074,0.017318339816720763,2800,42,2817
99.39652112176074,0.014959027253443101,2800,43,2817
99.39652112176074,0.01636261664090277,2800,44,2817
99.39652112176074,0.0153961806251599,2800,45,2817
99.39652112176074,0.015898798982175395,2800,46,2817
99.39652112176074,0.01451477244427579,2800,47,2817
99.39652112176074,0.01619361163793746,2800,48,2817
99.39652112176074,0.01410013705989254,2800,49,2817
