accuracy,average_loss,correct,epoch,total
77.74227902023429,0.8157133698928936,2190,0,2817
85.41001064962727,0.4998808519866478,2406,1,2817
90.23784167554136,0.32147880746491375,2542,2,2817
93.43272985445509,0.21971140662786764,2632,3,2817
95.81114660986866,0.1459160900556072,2699,4,2817
97.37309194178204,0.09402502179780581,2743,5,2817
98.29605963791268,0.05920609727073401,2769,6,2817
98.79304224352148,0.04007246784593435,2783,7,2817
98.97053603123891,0.034014968614777985,2788,8,2817
99.07703230386936,0.0236560505334477,2791,9,2817
99.11253106141285,0.019194020673151256,2792,10,2817
99.18352857649982,0.015388804460443585,2794,11,2817
99.07703230386936,0.014960736554693913,2791,12,2817
99.32552360667377,0.009233626567771514,2798,13,2817
99.32552360667377,0.008216628039776115,2798,14,2817
99.29002484913028,0.008156013861166317,2797,15,2817
99.29002484913028,0.007533566173950239,2797,16,2817
99.39652112176074,0.005117126927969936,2800,17,2817
99.39652112176074,0.0043670355025275534,2800,18,2817
99.36102236421725,0.004980226929068438,2799,19,2817
99.39652112176074,0.003414091760908241,2800,20,2817
99.36102236421725,0.003962451615230301,2799,21,2817
99.32552360667377,0.004703893278945961,2798,22,2817
99.36102236421725,0.002921430447611946,2799,23,2817
99.36102236421725,0.002891350604982549,2799,24,2817
99.36102236421725,0.0024976970711878357,2799,25,2817
99.39652112176074,0.0019387193381215056,2800,26,2817
99.32552360667377,0.0025244923741588113,2798,27,2817
99.39652112176074,0.0014920547832019116,2800,28,2817
99.39652112176074,0.0013240032852817436,2800,29,2817
99.39652112176074,0.0009702036555963583,2800,30,2817
99.39652112176074,0.0009717964982157021,2800,31,2817
99.39652112176074,0.000905466536744334,2800,32,2817
99.39652112176074,0.0010916970916195546,2800,33,2817
99.39652112176074,0.0010264051015553934,2800,34,2817
99.39652112176074,0.0011302042735312735,2800,35,2817
99.32552360667377,0.0024262547789205675,2798,36,2817
99.39652112176074,0.0011218727417858856,2800,37,2817
99.39652112176074,0.0008433020026031267,2800,38,2817
99.39652112176074,0.0010429290240649683,2800,39,2817
99.39652112176074,0.000637615408337112,2800,40,2817
99.39652112176074,0.0008141947926720025,2800,41,2817
99.36102236421725,0.0009279494849256814,2799,42,2817
99.39652112176074,0.000889500532329696,2800,43,2817
99.39652112176074,0.0007774070682870948,2800,44,2817
99.39652112176074,0.0007353898773897528,2800,45,2817
99.39652112176074,0.0007444983642491458,2800,46,2817
99.39652112176074,0.0007043814125914162,2800,47,2817
99.39652112176074,0.0007357649825166885,2800,48,2817
99.39652112176074,0.00046989669772721284,2800,49,2817
