accuracy,average_loss,correct,epoch,total
50.691823899371066,1.753482372355911,403,0,795
52.704402515723274,1.6561480252247935,419,1,795
54.088050314465406,1.6445124692137136,430,2,795
54.84276729559748,1.6008310282005453,436,3,795
53.459119496855344,1.620413102443863,425,4,795
52.20125786163522,1.6419607582332203,415,5,795
51.44654088050314,1.6408639583947524,409,6,795
49.55974842767296,1.6854165515059945,394,7,795
53.20754716981132,1.6243461368968652,423,8,795
52.327044025157235,1.6494381022903155,416,9,795
53.20754716981132,1.6668065197062942,423,10,795
53.081761006289305,1.6389357752769997,422,11,795
51.82389937106918,1.7023768586932488,412,12,795
53.459119496855344,1.6794765256485849,425,13,795
51.320754716981135,1.6806696765827682,408,14,795
53.20754716981132,1.6669351349836625,423,15,795
54.465408805031444,1.7045284343215654,433,16,795
54.339622641509436,1.720594374938581,432,17,795
52.704402515723274,1.6829573529321442,419,18,795
53.459119496855344,1.6753108954279678,425,19,795
51.19496855345912,1.7658710023892001,407,20,795
52.075471698113205,1.7457100538337755,414,21,795
51.320754716981135,1.7358345367623575,408,22,795
50.943396226415096,1.7549673404333725,405,23,795
50.943396226415096,1.8075720157263413,405,24,795
51.44654088050314,1.7545385876541617,409,25,795
52.57861635220126,1.7061830244724105,418,26,795
52.45283018867924,1.7200319590058717,417,27,795
52.704402515723274,1.7331099984031053,419,28,795
52.57861635220126,1.7376751593823703,418,29,795
51.19496855345912,1.7403908591600334,407,30,795
51.19496855345912,1.7479728362845175,407,31,795
51.44654088050314,1.7605308868600138,409,32,795
51.44654088050314,1.7486272751910132,409,33,795
52.075471698113205,1.7284257133052034,414,34,795
51.57232704402516,1.7528298527939514,410,35,795
51.19496855345912,1.7718235615664308,407,36,795
50.56603773584906,1.751555465602275,402,37,795
50.943396226415096,1.8098420149125394,405,38,795
51.57232704402516,1.7742128096286607,410,39,795
50.691823899371066,1.798758519970396,403,40,795
52.57861635220126,1.7885102757867777,418,41,795
50.943396226415096,1.7916857449513561,405,42,795
51.44654088050314,1.7584427071817266,409,43,795
50.691823899371066,1.785861877825275,403,44,795
49.81132075471698,1.7970852066136007,396,45,795
50.314465408805034,1.7771499153952928,400,46,795
50.943396226415096,1.8022015073764248,405,47,795
49.81132075471698,1.7957946969278205,396,48,795
50.314465408805034,1.749842719311984,400,49,795
